Time_Sec,CPU_Percent,Replicas
0,0.0,1
2,0.0,1
5,0.0,1
8,0.0,1
11,0.0,1
14,0.0,1
17,0.01,1
20,0.0,1
23,0.0,1
26,0.01,1
29,0.0,1
32,0.0,1
35,0.0,1
38,0.0,1
41,0.03,1
44,0.0,1
47,0.0,1
50,2.42,1
53,0.0,1
56,0.0,1
59,200.84,1
62,200.28,1
65,0.0,2
68,0.0,2
71,0.0,2
74,0.0,2
77,0.0,2
80,0.0,2
83,0.0,2
86,0.0,2
89,0.0,2
92,0.0,2
95,0.0,2
98,0.0,2
101,0.0,2
104,0.0,2
107,0.0,2
110,0.0,2
113,0.0,2
116,0.0,2
119,0.0,2
122,0.0,2
125,0.0,2
128,0.0,2
131,0.0,2
134,0.0,2
137,0.0,2
140,0.0,2
143,0.0,2
146,0.0,2
149,0.0,2
152,0.0,2
155,0.0,2
158,0.0,2
161,0.0,2
164,0.0,2
167,0.0,2
170,0.0,2
173,0.0,2
176,0.0,2
179,0.0,2
182,0.0,2
185,0.0,2
188,0.0,2
191,0.0,2
194,0.0,2
197,0.0,2
200,0.0,2
203,0.0,2
206,0.0,2
209,0.0,2
212,0.0,2
215,0.0,2
218,0.0,2
221,0.0,2
224,0.0,2
227,0.0,2
230,0.0,2
233,0.0,2
236,0.0,2
239,0.0,2
242,0.0,2
245,0.0,1
248,0.0,1
251,0.0,1
254,0.0,1
257,0.0,1
260,0.0,1
263,0.0,1
266,0.0,1
269,0.0,1
272,0.0,1
275,0.0,1
278,0.0,1
281,0.0,1
284,0.0,1
287,0.0,1
290,0.0,1
293,0.0,1
296,0.0,1
299,0.0,1
302,0.0,1
305,0.0,1
308,0.0,1
311,0.0,1
314,0.0,1
317,0.0,1
320,0.0,1
323,0.0,1
326,0.0,1
329,0.0,1
332,0.0,1
335,0.0,1
338,0.0,1
341,0.0,1
344,0.0,1
347,0.0,1
350,0.0,1
353,0.0,1
356,0.0,1
359,0.0,1
362,0.0,1
365,0.0,1
368,0.0,1
371,0.0,1
374,0.0,1
377,0.0,1
380,0.0,1
383,0.0,1
386,0.0,1
389,0.0,1
