Time_Sec,CPU_Percent,Replicas
0,0.0,1
2,0.0,1
5,0.0,1
8,0.0,1
11,0.0,1
14,0.0,1
17,0.0,1
20,0.0,1
23,0.0,1
26,0.0,1
29,0.0,1
32,0.0,1
35,0.0,1
38,0.0,1
41,0.0,1
44,0.0,1
47,0.0,1
50,0.0,1
53,0.0,1
56,1.85,1
59,0.0,1
62,0.0,1
65,0.0,1
68,0.0,1
71,0.0,1
74,0.0,1
77,0.0,1
80,0.0,1
83,0.0,1
86,0.0,1
89,0.03,1
92,5.81,1
95,1.83,1
98,2.29,1
101,88.47,1
104,1.87,1
107,0.0,2
110,0.0,2
113,0.0,2
116,0.0,2
119,0.0,2
122,0.0,2
125,0.0,2
128,0.0,2
131,0.0,2
134,0.0,2
137,0.0,2
140,0.0,2
143,0.0,2
146,0.0,2
149,0.0,2
153,0.0,2
156,0.0,2
159,0.0,2
161,0.0,2
164,0.0,2
167,0.0,2
170,0.0,2
173,0.0,2
176,0.0,2
179,0.0,2
183,0.0,2
186,0.0,2
189,0.0,2
192,0.0,2
195,0.0,2
198,0.0,2
201,0.0,2
204,0.0,2
207,0.0,2
210,0.0,2
213,0.0,2
216,0.0,2
219,0.0,2
222,0.0,2
225,0.0,2
228,0.0,2
231,0.0,2
234,0.0,2
237,0.0,2
240,0.0,2
243,0.0,2
246,0.0,2
249,0.0,2
252,0.0,2
255,0.0,2
258,0.0,2
261,0.0,2
264,0.0,2
267,0.0,2
270,0.0,2
273,0.0,2
276,0.0,2
279,0.0,2
282,0.0,2
285,0.0,2
288,0.0,1
291,199.5,1
294,0.0,2
297,0.0,2
300,0.0,2
303,0.0,2
306,0.0,2
309,0.0,2
312,0.0,2
315,0.0,2
318,0.0,2
321,0.0,2
324,0.0,2
327,0.0,2
330,0.0,2
333,0.0,2
336,0.0,2
339,0.0,2
342,0.0,2
345,0.0,2
347,0.0,2
